course_id,canonical_course_id,title,platform,category,level,skills,course_text
1,1,"Data Engineering, Big Data, and Machine Learning on GCP",Coursera,Data Science,Intermediate,"Data Pipelines, Dataflow, Google Cloud Platform, Real Time Data, Data Lakes, MLOps (Machine Learning Operations), Dashboard, Data Warehousing, Extract, Transform, Load, Data Infrastructure, Cloud Storage, Big Data, Tensorflow, Unstructured Data, Data Integration, Data Processing, Data Visualization Software, Apache Hadoop, Apache Spark, Cloud Computing","Title: Data Engineering, Big Data, and Machine Learning on GCP | Platform: Coursera | Category: Data Science | Level: Intermediate | Instructor: Google Cloud | Learning Product: Specialization | Skills: Data Pipelines, Dataflow, Google Cloud Platform, Real Time Data, Data Lakes, MLOps (Machine Learning Operations), Dashboard, Data Warehousing, Extract, Transform, Load, Data Infrastructure, Cloud Storage, Big Data, Tensorflow, Unstructured Data, Data Integration, Data Processing, Data Visualization Software, Apache Hadoop, Apache Spark, Cloud Computing"
12,12,Introduction to Mobile App Development,Coursera,Computer Science,Beginner,"Mobile Development, Mobile Development Tools, Android Development, Android Studio, Flutter (Software), Application Development, Swift Programming, Integrated Development Environments, Apple Xcode, Apple iOS, Application Frameworks, React Native, Cross Platform Development, Software Testing, Development Testing, User Interface and User Experience (UI/UX) Design, Back-End Web Development","Title: Introduction to Mobile App Development | Platform: Coursera | Category: Computer Science | Level: Beginner | Instructor: IBM | Learning Product: Course | Skills: Mobile Development, Mobile Development Tools, Android Development, Android Studio, Flutter (Software), Application Development, Swift Programming, Integrated Development Environments, Apple Xcode, Apple iOS, Application Frameworks, React Native, Cross Platform Development, Software Testing, Development Testing, User Interface and User Experience (UI/UX) Design, Back-End Web Development"
13,13,Software Architecture Patterns for Big Data,Coursera,Computer Science,Advanced,"Performance Testing, Scalability, Data Architecture, Software Architecture, Distributed Computing, Predictive Modeling, Database Architecture and Administration, Application Performance Management, Database Systems, System Design and Implementation, Test Automation","Title: Software Architecture Patterns for Big Data | Platform: Coursera | Category: Computer Science | Level: Advanced | Instructor: University of Colorado Boulder | Learning Product: Course | Skills: Performance Testing, Scalability, Data Architecture, Software Architecture, Distributed Computing, Predictive Modeling, Database Architecture and Administration, Application Performance Management, Database Systems, System Design and Implementation, Test Automation"
14,14,Exploratory Data Analysis,Coursera,Information Technology,Mixed,"Exploratory Data Analysis, Data Visualization, Ggplot2, Dimensionality Reduction, Data Visualization Software, R Programming, Graphing, Data Storytelling, Data Analysis, Statistical Analysis, Unsupervised Learning, Statistical Methods","Title: Exploratory Data Analysis | Platform: Coursera | Category: Information Technology | Level: Mixed | Instructor: Johns Hopkins University | Learning Product: Course | Skills: Exploratory Data Analysis, Data Visualization, Ggplot2, Dimensionality Reduction, Data Visualization Software, R Programming, Graphing, Data Storytelling, Data Analysis, Statistical Analysis, Unsupervised Learning, Statistical Methods"
15,15,Introduction to Scrum Master Profession,Coursera,Business,Beginner,"Sprint Retrospectives, Sprint Planning, Agile Project Management, Project Management, Agile Methodology, Stakeholder Management, Employee Coaching, Communication, Analysis","Title: Introduction to Scrum Master Profession | Platform: Coursera | Category: Business | Level: Beginner | Instructor: SkillUp EdTech | Learning Product: Course | Skills: Sprint Retrospectives, Sprint Planning, Agile Project Management, Project Management, Agile Methodology, Stakeholder Management, Employee Coaching, Communication, Analysis"
16,16,"C++ Object Basics: Functions, Recursion, and Objects",Coursera,Computer Science,Intermediate,"C++ (Programming Language), Object Oriented Programming (OOP), Programming Principles, Computer Programming, Software Documentation","Title: C++ Object Basics: Functions, Recursion, and Objects | Platform: Coursera | Category: Computer Science | Level: Intermediate | Instructor: Codio | Learning Product: Course | Skills: C++ (Programming Language), Object Oriented Programming (OOP), Programming Principles, Computer Programming, Software Documentation"
17,17,How Software Ate Finance,Coursera,Business,Mixed,"FinTech, Payment Systems, Financial Services, Financial Market, Capital Markets, Financial Trading, Asset Management, Mobile Banking, Consumer Lending, Blockchain, Retail Banking, Banking, Financial Regulation, Investment Management, Digital Assets, Technology Strategies, Risk Management","Title: How Software Ate Finance | Platform: Coursera | Category: Business | Level: Mixed | Instructor: Stanford University | Learning Product: Course | Skills: FinTech, Payment Systems, Financial Services, Financial Market, Capital Markets, Financial Trading, Asset Management, Mobile Banking, Consumer Lending, Blockchain, Retail Banking, Banking, Financial Regulation, Investment Management, Digital Assets, Technology Strategies, Risk Management"
18,18,Monitoring and Observability for Development and DevOps,Coursera,Computer Science,Intermediate,"Grafana, System Monitoring, Prometheus (Software), Application Performance Management, DevOps, Continuous Monitoring, Docker (Software), Cloud-Native Computing, Interactive Data Visualization, Kubernetes, Information Technology Operations, Distributed Computing","Title: Monitoring and Observability for Development and DevOps | Platform: Coursera | Category: Computer Science | Level: Intermediate | Instructor: IBM | Learning Product: Course | Skills: Grafana, System Monitoring, Prometheus (Software), Application Performance Management, DevOps, Continuous Monitoring, Docker (Software), Cloud-Native Computing, Interactive Data Visualization, Kubernetes, Information Technology Operations, Distributed Computing"
19,19,Functional Programming Principles in Scala,Coursera,Computer Science,Intermediate,"Scala Programming, Programming Principles, Object Oriented Programming (OOP), Functional Design, Software Design Patterns, Computer Programming, Data Structures, Software Engineering, Javascript, Algorithms, Computational Thinking","Title: Functional Programming Principles in Scala | Platform: Coursera | Category: Computer Science | Level: Intermediate | Instructor: École Polytechnique Fédérale de Lausanne | Learning Product: Course | Skills: Scala Programming, Programming Principles, Object Oriented Programming (OOP), Functional Design, Software Design Patterns, Computer Programming, Data Structures, Software Engineering, Javascript, Algorithms, Computational Thinking"
20,20,Moneyball and Beyond,Coursera,Data Science,Intermediate,"Analytics, Data Analysis, Advanced Analytics, Statistical Analysis, Data Science, Probability & Statistics, Statistics, Python Programming, Data Manipulation","Title: Moneyball and Beyond | Platform: Coursera | Category: Data Science | Level: Intermediate | Instructor: University of Michigan | Learning Product: Course | Skills: Analytics, Data Analysis, Advanced Analytics, Statistical Analysis, Data Science, Probability & Statistics, Statistics, Python Programming, Data Manipulation"
21,21,ChatGPT + Zapier: Automate Email Replies with AI,Coursera,Data Science,Beginner,"ChatGPT, Gmail, Google Workspace, Google Docs, Workflow Management, Automation, Business Correspondence, Customer Inquiries, Administrative Support and Clerical Tasks, Scheduling, Communication Strategies, Real Time Data","Title: ChatGPT + Zapier: Automate Email Replies with AI | Platform: Coursera | Category: Data Science | Level: Beginner | Instructor: Vanderbilt University | Learning Product: Course | Skills: ChatGPT, Gmail, Google Workspace, Google Docs, Workflow Management, Automation, Business Correspondence, Customer Inquiries, Administrative Support and Clerical Tasks, Scheduling, Communication Strategies, Real Time Data"
